,source,author,title,description,url,urlToImage,publishedAt,content
0,"{'id': None, 'name': 'GlobeNewswire'}",Research and Markets,Europe Blockchain in BFSI Market Outlook to 2028 - Market to Surge at a 65% CAGR through 2028 amid Rising Security and Digital Currency Adoption,"Dublin, Dec. 19, 2023 (GLOBE NEWSWIRE) -- The ""Europe Blockchain in BFSI Market Outlook to 2028"" report has been added to ResearchAndMarkets.com's offering.A decentralized, distributed digital ledger called blockchain is used in the banking, financial service…",https://www.globenewswire.com/news-release/2023/12/19/2798560/28124/en/Europe-Blockchain-in-BFSI-Market-Outlook-to-2028-Market-to-Surge-at-a-65-CAGR-through-2028-amid-Rising-Security-and-Digital-Currency-Adoption.html,https://ml.globenewswire.com/Resource/Download/908fb457-7f8e-4a08-9081-5565e3dfb3d7,2023-12-19T13:53:00Z,"Dublin, Dec. 19, 2023 (GLOBE NEWSWIRE) -- The ""Europe Blockchain in BFSI Market Outlook to 2028"" report has been added to ResearchAndMarkets.com's offering.
A decentralized, distributed digital ledg… [+9053 chars]"
1,"{'id': None, 'name': 'Dubaichronicle.com'}",Dubai Chronicle,6 Predictions for Fintech in 2024,"Financial technology, or fintech, is undergoing rapid and transformative changes. As we look ahead to 2024, several key trends are poised to shape the landscape of the booming industry. “2024 promises to be a dynamic and innovative period for fintech. We thin…",https://www.dubaichronicle.com/2023/12/19/6-predictions-for-fintech-in-2024-n/,https://www.dubaichronicle.com/wp-content/uploads/2023/12/artificial-intelligence-3382507_1280.jpg,2023-12-19T13:51:57Z,"Financial technology, or fintech, is undergoing rapid and transformative changes. As we look ahead to 2024, several key trends are poised to shape the landscape of the booming industry.
2024 promise… [+5450 chars]"
2,"{'id': None, 'name': 'Biztoc.com'}",coinpedia.org,Crypto Rover Sets Bullish Price Targets for Bitcoin and Ethereum in the Next 4-6 Months,The post Crypto Rover Sets Bullish Price Targets for Bitcoin and Ethereum in the Next 4-6 Months appeared first on Coinpedia Fintech News A prominent crypto trader Crypto Rover has outlined his optimistic price targets for two of the most significant cryptocu…,https://biztoc.com/x/f74c94e2a586d1ba,https://c.biztoc.com/p/f74c94e2a586d1ba/s.webp,2023-12-19T13:46:30Z,The post Crypto Rover Sets Bullish Price Targets for Bitcoin and Ethereum in the Next 4-6 Months appeared first on Coinpedia Fintech NewsA prominent crypto trader Crypto Rover has outlined his optimi… [+319 chars]
3,"{'id': None, 'name': 'Biztoc.com'}",coinpedia.org,Wall Street Eyes 98.7% Chance of Bitcoin ETF Approval,Qadir Ak is the founder of Coinpedia. He has over a decade of experience writing about technology and has been covering the blockchain and cryptocurrency space since 2010. He has also interviewed a few prominent experts within the cryptocurrency space. In the…,https://biztoc.com/x/b3cbf17341dab673,https://c.biztoc.com/p/b3cbf17341dab673/s.webp,2023-12-19T13:46:29Z,Qadir Ak is the founder of Coinpedia. He has over a decade of experience writing about technology and has been covering the blockchain and cryptocurrency space since 2010. He has also interviewed a f… [+293 chars]
4,"{'id': None, 'name': 'GlobeNewswire'}",BP-FLAC,"BP-FLAC launched the PoW side-chain called Eon, paving the way for the next AI era","San Francisco, CA, Dec. 19, 2023 (GLOBE NEWSWIRE) -- BP-FLAC, the first generative AI EVM Layer-1 public chain, pioneers infinite computing power aggregation. Addressing AI privacy, it optimizes zk algorithms with CUDA. Possessing A100 GPUs on-chain ensures s…",https://www.globenewswire.com/news-release/2023/12/19/2798554/0/en/BP-FLAC-launched-the-PoW-side-chain-called-Eon-paving-the-way-for-the-next-AI-era.html,https://ml.globenewswire.com/Resource/Download/33400615-cb20-4156-8721-cf411f8119c2,2023-12-19T13:45:00Z,"San Francisco, CA, Dec. 19, 2023 (GLOBE NEWSWIRE) -- BP-FLAC, the first generative AI EVM Layer-1 public chain, pioneers infinite computing power aggregation. Addressing AI privacy, it optimizes zk a… [+3680 chars]"
5,"{'id': None, 'name': 'We Live Security'}",,"ESET Threat Report, conoce las amenazas más relevantes del segundo trimestre 2023",Una visión del panorama de amenazas H2 2023 según la telemetría de ESET y desde la perspectiva de los expertos en detección e investigación de amenazas de ESET,https://www.welivesecurity.com/es/informes/eset-threat-report-amenazas-segundo-trimestre-2023/,,2023-12-19T13:37:12Z,"El segundo semestre de 2023 fue testigo de importantes incidentes de ciberseguridad. Cl0p, un famoso grupo de ciberdelincuentes conocido por llevar a cabo ataques de ransomware a gran escala, llamó l… [+3643 chars]"
6,"{'id': None, 'name': 'Gameinformer.com'}",Wesley LeBlanc,"Insomniac Games Hacked By Ransomware Group, Resulting In 1 TB Of Leaked Game Info And More","Last week, ransomware group Rhysida revealed it had hacked Marvel's Spider-Man 2 developer, Insomniac Games. It posted images to prove the validity of its claim, demanding 50 bitcoin – roughly $2 million – from Sony within seven days or it would leak what it …",https://www.gameinformer.com/news/2023/12/19/insomniac-games-hacked-by-ransomware-group-resulting-in-1-tb-of-leaked-game-info,https://www.gameinformer.com/sites/default/files/styles/thumbnail/public/2023/12/19/2d886b6c/marvels_wolverine_insomniac_games_leak1.jpg,2023-12-19T13:35:07Z,"Last week, ransomware group Rhysida revealed it had hacked Marvel's Spider-Man 2 developer, Insomniac Games. It posted images to prove the validity of its claim, demanding 50 bitcoin roughly $2 milli… [+1249 chars]"
7,"{'id': None, 'name': 'Emerce.nl'}",M11 Funds,M11 Funds: “Institutionele partijen gaan in 2024 digital assets breed omarmen”,"AMSTERDAM, 19 december – M11 Funds geeft een optimistische outlook voor de acceptatie van digital assets door institutionele partijen in […]",https://www.emerce.nl/wire/m11-funds-institutionele-partijen-gaan-2024-digital-assets-breed-omarmen,https://www.emerce.nl/content/uploads/2023/12/Funds-Blue-New-cropped.png,2023-12-19T13:34:24Z,"AMSTERDAM, 19 december – M11 Funds geeft een optimistische outlook voor de acceptatie van digital assets door institutionele partijen in 2024. De boutique asset manager met een actieve strategie in d… [+3392 chars]"
8,"{'id': None, 'name': 'Marketscreener.com'}",,Marathon Digital to Buy Bitcoin-Mining Sites For $179 Million,"(marketscreener.com) 
 By Will Feuer 


 Marathon Digital Holdings said it has agreed to buy two Bitcoin-mining sites for $178.6 million, a deal that follows a swift rally in the price of Bitcoin over the past few months. 

 Marathon said it will pay cash for…",https://www.marketscreener.com/quote/stock/MARATHON-DIGITAL-HOLDINGS-56976419/news/Marathon-Digital-to-Buy-Bitcoin-Mining-Sites-For-179-Million-45599726/,https://www.marketscreener.com/images/twitter_MS_fdblanc.png,2023-12-19T13:33:02Z,"By Will Feuer 
Marathon Digital Holdings said it has agreed to buy two Bitcoin-mining sites for $178.6 million, a deal that follows a swift rally in the price of Bitcoin over the past few months. 
… [+668 chars]"
9,"{'id': None, 'name': 'Biztoc.com'}",bitcoinist.com,"Solana Wins Institutional Investors’ Trust Over Bitcoin And Ethereum, Here’s How","Solana is in the lead again, as the majority of crypto assets investment products witnessed net outflows of investments last week, bringing an end to 11 consecutive weeks of inflows. This wasn’t surprising though, as most cryptocurrencies went through a brief…",https://biztoc.com/x/df3eab3fbfd4237c,https://c.biztoc.com/p/df3eab3fbfd4237c/s.webp,2023-12-19T13:32:07Z,"Solana is in the lead again, as the majority of crypto assets investment products witnessed net outflows of investments last week, bringing an end to 11 consecutive weeks of inflows. This wasnt surpr… [+256 chars]"
