,source,author,title,description,url,urlToImage,publishedAt,content
0,"{'id': None, 'name': 'Biztoc.com'}",forbes.com,"BlackRock Reveals Major Bitcoin ETF Update As Huge $1.6 Trillion Crypto Price Pump Spurs Ethereum, BNB, XRP And Solana","Bitcoin and major cryptocurrencies—including ethereum, BNB , XRP and solana—have rocketed higher amid expectations of a 2024 ""Biden bailout."" Subscribe now to Forbes' CryptoAsset & Blockchain Advisor and ""uncover blockchain blockbusters poised for 1,000% plus…",https://biztoc.com/x/88844b2075234a08,https://c.biztoc.com/p/88844b2075234a08/s.webp,2023-12-19T13:00:24Z,"Bitcoin and major cryptocurrenciesincluding ethereum, BNB , XRP and solanahave rocketed higher amid expectations of a 2024 ""Biden bailout.""Subscribe now to Forbes' CryptoAsset &amp; Blockchain Adviso… [+275 chars]"
1,"{'id': None, 'name': 'Forbes'}","Billy Bambrough, Senior Contributor, 
 Billy Bambrough, Senior Contributor
 https://www.forbes.com/sites/billybambrough/","BlackRock Reveals Major Bitcoin ETF Update As Huge $1.6 Trillion Crypto Price Pump Spurs Ethereum, BNB, XRP And Solana","The bitcoin price has added 40% over the last six months alone, pushed on by a flood of bitcoin spot exchange-traded fund (ETF) applications...",https://www.forbes.com/sites/digital-assets/2023/12/19/blackrock-reveals-major-bitcoin-etf-update-as-huge-16-trillion-crypto-price-pump-spurs-ethereum-bnb-xrp-and-solana/,https://imageio.forbes.com/specials-images/imageserve/651ea23d7782501917072f5a/0x0.jpg?format=jpg&height=900&width=1600&fit=bounds,2023-12-19T12:47:35Z,"BitcoinBTC
 and major cryptocurrenciesincluding ethereum, BNBBNB
, XRPXRP
 and solanahave rocketed higher amid expectations of a 2024 ""Biden bailout.""
Subscribenow to Forbes' CryptoAsset &amp; Bl… [+3218 chars]"
2,"{'id': None, 'name': 'Biztoc.com'}",u.today,"XRP '4 Steps' Away From Reclaiming History, Here's How","XRP price saw a major breakout today, jumping as high as 5% to $0.609 over the past 24 hours. With its current outlook, XRP is close to reclaiming its historically high ranking, from which it displaced Binance Coin (BNB) earlier in the year. With this daily g…",https://biztoc.com/x/bd7902a1d65ed13b,https://c.biztoc.com/p/bd7902a1d65ed13b/s.webp,2023-12-19T12:36:06Z,"XRP price saw a major breakout today, jumping as high as 5% to $0.609 over the past 24 hours. With its current outlook, XRP is close to reclaiming its historically high ranking, from which it displac… [+288 chars]"
3,"{'id': None, 'name': 'Ambcrypto.com'}",Aniket Verma,Bitcoin: Are whales taking a festive break?,Bitcoin's institutional whales have been missing over the last week.,https://ambcrypto.com/?p=359408,https://statics.ambcrypto.com/wp-content/uploads/2023/12/btc-ani-1000x600.webp,2023-12-19T12:30:19Z,"<ul><li>Coinbase Premium was on a downtrend in December.</li><li>Whales had significantly reduced their long exposure.</li></ul>Bitcoin [BTC] climbed back above $43,000 in the last 24 hours of tradin… [+2182 chars]"
4,"{'id': 'info-money', 'name': 'InfoMoney'}",lucasgmarins,Bitcoin sobe forte e passa dos US$ 43 mil após BlackRock revisar pedido de ETF,"De acordo com a proposta atualizada, o produto financeiro vai permitir resgates em dinheiro
The post Bitcoin sobe forte e passa dos US$ 43 mil após BlackRock revisar pedido de ETF appeared first on InfoMoney.",https://www.infomoney.com.br/mercados/bitcoin-hoje-sobe-forte-e-passa-dos-us-43-mil-apos-blackrock-revisar-pedido-de-etf/,https://www.infomoney.com.br/wp-content/uploads/2023/02/GettyImages-947528908.jpg?quality=70,2023-12-19T11:01:14Z,O Bitcoin (BTC) disparou e voltou a ser negociado acima dos US$ 43 mil após a gestora BlackRock revisar seu pedido de ETF (fundo de índice) com exposição direta à criptomoeda para se adequar às exigê… [+4468 chars]
5,"{'id': None, 'name': 'Biztoc.com'}",ambcrypto.com,Here’s how BNB reacted to Binance’s settlement with CFTC,"According to a recent ruling, Binance is set to pay a total of $2.7 billion in fines. CZ will also pay $150 million in fines. There has been an update on the legal proceedings involving Binance and its former CEO Changpeng Zhao. A court has issued an order ag…",https://biztoc.com/x/7c62ce9184f9dcf0,https://c.biztoc.com/p/7c62ce9184f9dcf0/s.webp,2023-12-19T10:40:11Z,"According to a recent ruling, Binance is set to pay a total of $2.7 billion in fines.CZ will also pay $150 million in fines.There has been an update on the legal proceedings involving Binance and its… [+324 chars]"
6,"{'id': None, 'name': 'Bolsamania.com'}",Álvaro Estévez,EEUU confirma la sanción de la CFTC contra Binance: deberá pagar 2.700 millones,"Un tribunal de Estados Unidos ha confirmado parte de la histórica multa impuesta a Binance, por la cual la criptobolsa deberá pagar 2.700 millones de dólares a la Comisión de Comercio de Futuros de Materias Primas (CFTC, por sus siglas en inglés).",https://www.bolsamania.com/noticias/criptodivisas/eeuu-confirma-sancion-cftc-binance-pagar-2700-millones--15644432.html,https://img6.s3wfg.com/web/img/images_uploaded/b/5/richard_teng_binance_ok.jpg,2023-12-19T10:38:53Z,"Un tribunal de Estados Unidos ha confirmado parte de la histórica multa impuesta a Binance, por la cual la criptobolsa deberá pagar 2.700 millones de dólares a la Comisión de Comercio de Futuros de M… [+5150 chars]"
7,"{'id': None, 'name': 'Ambcrypto.com'}",Adewale Olarinde,Here’s how BNB reacted to Binance’s settlement with CFTC,"Despite the recent court order, Binance has remained the top exchange, and BNB has regained its usual trend after an initial setback.",https://ambcrypto.com/?p=359452,https://statics.ambcrypto.com/wp-content/uploads/2023/12/ambcrypto_Prompt_A_courtroom_scene_with_a_judge_at_the_bench_st_aa1f402c-ea72-4995-ace0-a5536830e7eb-1-1000x600.png,2023-12-19T10:30:00Z,"<ul><li>According to a recent ruling, Binance is set to pay a total of $2.7 billion in fines.</li><li>CZ will also pay $150 million in fines.</li></ul>There has been an update on the legal proceeding… [+2886 chars]"
8,"{'id': None, 'name': 'Bolsamania.com'}",Álvaro Estévez,El bitcoin recupera los 43.000 dólares: el mercado da por hecho que habrá ETF al contado,"Volantazo en el mercado de las criptomonedas. El bitcoin (BTC) se despereza tras un débil inicio de semana y se sitúa por encima de los 43.000 dólares, mientras que el ethereum (ETH) sigue su estela y escala hasta los 2.250 dólares.",https://www.bolsamania.com/noticias/criptodivisas/bitcoin-43000-mercado-hecho-etf-contado--15643860.html,https://img2.s3wfg.com/web/img/images_uploaded/b/8/bitcoin_dolar.jpg,2023-12-19T09:35:03Z,"Volantazo en el mercado de las criptomonedas. El bitcoin (BTC) se despereza tras un débil inicio de semana y se sitúa por encima de los 43.000 dólares, mientras que el ethereum (ETH) sigue su estela … [+3116 chars]"
9,"{'id': None, 'name': 'Biztoc.com'}",u.today,Shibarium Hits Record 130 Million Inscriptions,"Shibarium, the layer-2 scaling solution for Shiba Inu, has surpassed 130 million inscriptions while maintaining the lowest gas fees in the industry. According to Kaal Dhairya, a developer for Shiba Inu, it was accomplished in less time than any other chain. H…",https://biztoc.com/x/fdfbd86d392f90bb,https://c.biztoc.com/p/fdfbd86d392f90bb/s.webp,2023-12-19T09:20:09Z,"Shibarium, the layer-2 scaling solution for Shiba Inu, has surpassed 130 million inscriptions while maintaining the lowest gas fees in the industry.According to Kaal Dhairya, a developer for Shiba In… [+277 chars]"
