,source,author,title,description,url,urlToImage,publishedAt,content
0,"{'id': None, 'name': 'Bitcoinist'}",Scott Matherson,"Solana Wins Institutional Investors’ Trust Over Bitcoin And Ethereum, Here’s How","Solana is in the lead again, as the majority of crypto assets investment products witnessed net outflows of investments last week, bringing an end to 11 consecutive weeks of inflows. This wasn’t surprising though, as most cryptocurrencies went through a brief…",https://bitcoinist.com/solana-trust-bitcoin-and-ethereum/,,2023-12-19T13:30:59Z,"Solana is in the lead again, as the majority of crypto assets investment products witnessed net outflows of investments last week, bringing an end to 11 consecutive weeks of inflows. This wasn’t surp… [+2581 chars]"
1,"{'id': None, 'name': 'CryptoGlobe'}",CryptoGlobe Writer,"IOG CEO Charles Hoskinson Celebrates Cardano’s High Network Activity, Mocks ‘Ghost Chain’ Narrative","Yesterday, Charles Hoskinson, Co-Founder and CEO of Input Output Global (IOG), addressed the growing concerns regarding Cardano’s network capacity. His comments come amidst a broader discussion about the platform’s scalability and utility, challenging previou…",https://www.cryptoglobe.com/latest/2023/12/iog-ceo-charles-hoskinson-celebrates-cardanos-high-network-activity-mocks-ghost-chain-narrative/,https://media.cryptoglobe.com/2022/11/Charles-Hoskinson-on-12-Nov-2022-768x415.jpg,2023-12-19T12:14:34Z,"Yesterday, Charles Hoskinson, Co-Founder and CEO of Input Output Global (IOG), addressed the growing concerns regarding Cardanos network capacity. His comments come amidst a broader discussion about … [+4295 chars]"
2,"{'id': None, 'name': 'Biztoc.com'}",u.today,"Price Aims for Epic 15% Upside, But There's Barrier to Overcome","In a promising turn of events, Cardano's ADA has ignited a bullish trend at the onset of the new week, shaking off last week's brief respite after a formidable 50.62% surge. ADA enthusiasts have reason to celebrate once more as the token flaunts a 3.8% gain, …",https://biztoc.com/x/24d0000b34c22734,https://c.biztoc.com/p/24d0000b34c22734/s.webp,2023-12-19T12:08:09Z,"In a promising turn of events, Cardano's ADA has ignited a bullish trend at the onset of the new week, shaking off last week's brief respite after a formidable 50.62% surge. ADA enthusiasts have reas… [+216 chars]"
3,"{'id': None, 'name': 'Biztoc.com'}",coinpedia.org,Cardano Displaying Strength: Will the ADA Price Reach the Top or Not?,A passionate cryptocurrency and blockchain author qualified to cover every event in the crypto space. Researching minute occurrences and bringing new insights lie within the prime focus of my task. The markets are displaying some strength after being stuck wi…,https://biztoc.com/x/ab95d696cdb60b7f,https://c.biztoc.com/p/ab95d696cdb60b7f/s.webp,2023-12-19T11:36:31Z,A passionate cryptocurrency and blockchain author qualified to cover every event in the crypto space. Researching minute occurrences and bringing new insights lie within the prime focus of my task.Th… [+227 chars]
4,"{'id': None, 'name': 'Finbold.com'}",Ana Zirojevic,Top 3 cryptocurrencies to buy in January 2024,"With January 2024 fast approaching, the cryptocurrency sector as a whole is starting to look bullish, led by the price … Continued
The post Top 3 cryptocurrencies to buy in January 2024 appeared first on Finbold.",https://finbold.com/top-3-cryptocurrencies-to-buy-in-january-2024/,https://finbold.com/app/uploads/2023/12/Top-3-cryptocurrencies-to-buy-in-January-2024.jpg,2023-12-19T11:11:24Z,"With January 2024 fast approaching, the cryptocurrency sector as a whole is starting to look bullish, led by the price gains of its representative asset that is back on track around the $43,000 thres… [+2881 chars]"
5,"{'id': 'info-money', 'name': 'InfoMoney'}",lucasgmarins,Bitcoin sobe forte e passa dos US$ 43 mil após BlackRock revisar pedido de ETF,"De acordo com a proposta atualizada, o produto financeiro vai permitir resgates em dinheiro
The post Bitcoin sobe forte e passa dos US$ 43 mil após BlackRock revisar pedido de ETF appeared first on InfoMoney.",https://www.infomoney.com.br/mercados/bitcoin-hoje-sobe-forte-e-passa-dos-us-43-mil-apos-blackrock-revisar-pedido-de-etf/,https://www.infomoney.com.br/wp-content/uploads/2023/02/GettyImages-947528908.jpg?quality=70,2023-12-19T11:01:14Z,O Bitcoin (BTC) disparou e voltou a ser negociado acima dos US$ 43 mil após a gestora BlackRock revisar seu pedido de ETF (fundo de índice) com exposição direta à criptomoeda para se adequar às exigê… [+4468 chars]
6,"{'id': None, 'name': 'Biztoc.com'}",thecryptobasic.com,Cardano Founder Touts Protocol’s Scalability in Jab Against Critics,"Charles Hoskinson has taken a jab at critics of the Cardano blockchain network, calling attention to the protocol’s impressive growth rate. Cardano is arguably one of the most bashed crypto protocols in Web 3 today. While the reasons it has so many critics ar…",https://biztoc.com/x/ff1b812b34147395,https://c.biztoc.com/p/ff1b812b34147395/s.webp,2023-12-19T10:56:07Z,"Charles Hoskinson has taken a jab at critics of the Cardano blockchain network, calling attention to the protocols impressive growth rate.Cardano is arguably one of the most bashed crypto protocols i… [+318 chars]"
7,"{'id': None, 'name': 'Bolsamania.com'}",Álvaro Estévez,EEUU confirma la sanción de la CFTC contra Binance: deberá pagar 2.700 millones,"Un tribunal de Estados Unidos ha confirmado parte de la histórica multa impuesta a Binance, por la cual la criptobolsa deberá pagar 2.700 millones de dólares a la Comisión de Comercio de Futuros de Materias Primas (CFTC, por sus siglas en inglés).",https://www.bolsamania.com/noticias/criptodivisas/eeuu-confirma-sancion-cftc-binance-pagar-2700-millones--15644432.html,https://img6.s3wfg.com/web/img/images_uploaded/b/5/richard_teng_binance_ok.jpg,2023-12-19T10:38:53Z,"Un tribunal de Estados Unidos ha confirmado parte de la histórica multa impuesta a Binance, por la cual la criptobolsa deberá pagar 2.700 millones de dólares a la Comisión de Comercio de Futuros de M… [+5150 chars]"
8,"{'id': None, 'name': 'Biztoc.com'}",u.today,"Cardano Founder Dispels Concerns About ADA Blocks Being Too Full, Here's Explanation","Billionaire and mathematician Charles Hoskinson, who created IOG and then built the Cardano blockchain with his team, has published a post to address the growing concerns about Cardano blocks being allegedly too full and unable to take in more data. He notice…",https://biztoc.com/x/cc1da48c2699452a,https://c.biztoc.com/p/cc1da48c2699452a/s.webp,2023-12-19T10:30:17Z,"Billionaire and mathematician Charles Hoskinson, who created IOG and then built the Cardano blockchain with his team, has published a post to address the growing concerns about Cardano blocks being a… [+279 chars]"
9,"{'id': None, 'name': 'Biztoc.com'}",cryptopotato.com,"Bitcoin Skyrockets to $43K Again, Solana and Cardano Jump by 10% (Market Watch)","After several days of trading south and dropping to around $40,500, bitcoin finally initiated a notable leg-up that resulted in soaring past $43,000 earlier today. The altcoins have also turned green, with SOL jumping above $70 and ADA touching $0.6. BTC Back…",https://biztoc.com/x/fb8f87ddf002b240,https://c.biztoc.com/p/fb8f87ddf002b240/s.webp,2023-12-19T09:44:06Z,"After several days of trading south and dropping to around $40,500, bitcoin finally initiated a notable leg-up that resulted in soaring past $43,000 earlier today.The altcoins have also turned green,… [+275 chars]"
