,source,author,title,description,url,urlToImage,publishedAt,content
0,"{'id': None, 'name': 'Biztoc.com'}",thecryptobasic.com,"CryptoCom to Give Away $15,000 in Bitcoin to Shiba Inu Traders","A new campaign on the popular crypto exchange wants to reward users who trade Shiba Inu (SHIB) and other meme coins. As the crypto market continues its uptrend, several exchanges seize the opportunity to boost trading volume while rewarding users. Crypto.com …",https://biztoc.com/x/319b0f7ac3fea080,https://c.biztoc.com/p/319b0f7ac3fea080/s.webp,2023-12-19T12:48:07Z,"A new campaign on the popular crypto exchange wants to reward users who trade Shiba Inu (SHIB) and other meme coins.As the crypto market continues its uptrend, several exchanges seize the opportunity… [+280 chars]"
1,"{'id': None, 'name': 'Biztoc.com'}",beincrypto.com,Traders Eye Shiba Inu (SHIB) Upside While New Sponge V2 Meme Coin Attempts to Soak Up Hype,"SHIB, the popular meme coin and “Dogecoin killer”, has seen a surge of over 5% in price today. The coin is now trading above the key $0.00001 resistance and psychological level. This latest move comes amidst large transactions from anonymous crypto whales. Ac…",https://biztoc.com/x/770079df9ccc51a3,https://c.biztoc.com/p/770079df9ccc51a3/s.webp,2023-12-19T12:24:11Z,"SHIB, the popular meme coin and Dogecoin killer, has seen a surge of over 5% in price today. The coin is now trading above the key $0.00001 resistance and psychological level. This latest move comes … [+284 chars]"
2,"{'id': None, 'name': 'Biztoc.com'}",beincrypto.com,Here’s How the Dogecoin (DOGE) Price Can Reach Another Yearly High This Month,"price has fallen since reaching a new yearly high on December 11. The downward movement stopped with a strong bounce yesterday. Will this mark the bottom of the decrease, or is it just a temporary relief before new lows? Dogecoin Deviates Above 365-Day Resist…",https://biztoc.com/x/7c9696a1be3f3190,https://c.biztoc.com/p/7c9696a1be3f3190/s.webp,2023-12-19T10:46:11Z,"price has fallen since reaching a new yearly high on December 11. The downward movement stopped with a strong bounce yesterday. Will this mark the bottom of the decrease, or is it just a temporary re… [+318 chars]"
3,"{'id': None, 'name': 'Biztoc.com'}",cryptopotato.com,"Bitcoin Skyrockets to $43K Again, Solana and Cardano Jump by 10% (Market Watch)","After several days of trading south and dropping to around $40,500, bitcoin finally initiated a notable leg-up that resulted in soaring past $43,000 earlier today. The altcoins have also turned green, with SOL jumping above $70 and ADA touching $0.6. BTC Back…",https://biztoc.com/x/fb8f87ddf002b240,https://c.biztoc.com/p/fb8f87ddf002b240/s.webp,2023-12-19T09:44:06Z,"After several days of trading south and dropping to around $40,500, bitcoin finally initiated a notable leg-up that resulted in soaring past $43,000 earlier today.The altcoins have also turned green,… [+275 chars]"
4,"{'id': None, 'name': 'Biztoc.com'}",coingape.com,Dogecoin Price Rallies As Whales Move 657 Mln DOGE to Coinbase & Robinhood,"With its acceptance as a payment option growing, thanks to meager transaction fees and constant endorsement by billionaire Elon Musk, Dogecoin (DOGE) is no longer just a meme fodder. The top dog meme coin, DOGE, has been witnessing significant whale activity …",https://biztoc.com/x/f05418ed4f512273,https://c.biztoc.com/p/f05418ed4f512273/s.webp,2023-12-19T09:28:18Z,"With its acceptance as a payment option growing, thanks to meager transaction fees and constant endorsement by billionaire Elon Musk, Dogecoin (DOGE) is no longer just a meme fodder.The top dog meme … [+281 chars]"
5,"{'id': None, 'name': 'Biztoc.com'}",cryptoslate.com,"Bitcoin rebound above $43,000 sparks $67M BTC liquidation, indicating further market maturity","climbed back above $43,000 during Asian trading hours following news that BlackRock amended its spot exchange-traded fund (ETF) application to comply with the U.S. Securities and Exchange Commission (SEC). Coinglass data shows that the price movement liquidat…",https://biztoc.com/x/e2209d93c2d7e9e7,https://c.biztoc.com/p/e2209d93c2d7e9e7/s.webp,2023-12-19T09:20:06Z,"climbed back above $43,000 during Asian trading hours following news that BlackRock amended its spot exchange-traded fund (ETF) application to comply with the U.S. Securities and Exchange Commission … [+276 chars]"
6,"{'id': None, 'name': 'ETF Daily News'}",MarketBeat News,Integrated Ventures (OTCMKTS:INTV) and Senmiao Technology (NASDAQ:AIHS) Head-To-Head Survey,"Integrated Ventures (OTCMKTS:INTV – Get Free Report) and Senmiao Technology (NASDAQ:AIHS – Get Free Report) are both small-cap finance companies, but which is the superior stock? We will compare the two companies based on the strength of their profitability, …",https://www.etfdailynews.com/2023/12/19/integrated-ventures-otcmktsintv-and-senmiao-technology-nasdaqaihs-head-to-head-survey/,https://www.americanbankingnews.com/wp-content/timthumb/timthumb.php?src=https://www.marketbeat.com/logos/senmiao-technology-limited-logo.png?v=20211103153712&w=240&h=240&zc=2,2023-12-19T09:18:41Z,"Integrated Ventures (OTCMKTS:INTV – Get Free Report) and Senmiao Technology (NASDAQ:AIHS – Get Free Report) are both small-cap finance companies, but which is the superior stock? We will compare the … [+4817 chars]"
7,"{'id': None, 'name': 'CryptoSlate'}",Oluwapelumi Adejumo,"Bitcoin rebound above $43,000 sparks $67M BTC liquidation, indicating further market maturity","Bitcoin (BTC) climbed back above $43,000 during Asian trading hours following news that BlackRock amended its spot exchange-traded fund (ETF) application to comply with the U.S. Securities and Exchange Commission (SEC). Coinglass data shows that the price mov…",https://cryptoslate.com/bitcoin-rebound-above-43000-sparks-67m-btc-liquidation-indicating-further-market-maturity/,https://cryptoslate.com/wp-content/uploads/2023/12/crypto-market-swings.jpg,2023-12-19T09:15:47Z,"Bitcoin (BTC) climbed back above $43,000 during Asian trading hours following news that BlackRock amended its spot exchange-traded fund (ETF) application to comply with the U.S. Securities and Exchan… [+2907 chars]"
8,"{'id': None, 'name': 'Gadgets360.com'}","Radhika Parashar, Siddharth Suvarna","Crypto Price Today: Bitcoin Recoils to $42,000 Mark as Profits Rain Over Majority Crypto Assets","The overall crypto market cap rose by 3.91 percent in the last 24 hours. Bitcoin and Ether, both recorded gains on Tuesday, December 19. The rally is potentially fueled by Galaxy Digital's commitment to revive collapsed crypto projects, including FTX. On the …",https://www.gadgets360.com/cryptocurrency/news/bitcoin-price-today-usd-42000-profits-ether-altcoins-india-4701727,https://i.gadgets360cdn.com/large/india-btc_eth_pixabay_Dean_Crosby_101_large_1652675059057.jpg,2023-12-19T06:30:17Z,"The overall crypto chart appeared lush with greens as most cryptocurrencies saw gains on Tuesday, December 19. Bitcoin, for instance, rose in value by 4.75 percent in the last 24 hours. At the time o… [+2903 chars]"
9,"{'id': None, 'name': 'Potato.cheap'}",philibertperusse,The Cheap Web,The cheap web is a solarpunk philosophy of web design.,https://potato.cheap/,,2023-12-19T05:47:01Z,"potato.cheap is home of the...
The ""cheap"" web is a
 solarpunk
 philosophy of web design.
cheap free
Making nice things is difficult and time-consuming.
If we want people to make nice things fo… [+9738 chars]"
