,source,author,title,description,url,urlToImage,publishedAt,content
0,"{'id': None, 'name': 'Biztoc.com'}",bitcoinist.com,"Solana Wins Institutional Investors’ Trust Over Bitcoin And Ethereum, Here’s How","Solana is in the lead again, as the majority of crypto assets investment products witnessed net outflows of investments last week, bringing an end to 11 consecutive weeks of inflows. This wasn’t surprising though, as most cryptocurrencies went through a brief…",https://biztoc.com/x/df3eab3fbfd4237c,https://c.biztoc.com/p/df3eab3fbfd4237c/s.webp,2023-12-19T13:32:07Z,"Solana is in the lead again, as the majority of crypto assets investment products witnessed net outflows of investments last week, bringing an end to 11 consecutive weeks of inflows. This wasnt surpr… [+256 chars]"
1,"{'id': None, 'name': 'Biztoc.com'}",u.today,Crypto Market Enters 'Extreme Greed' as New Solana Meme Coin WIF Records $40 Million Trading Volume,"In a striking turn of events, the crypto market has embraced ""extreme greed,"" with the widely-followed Crypto Fear & Greed Index soaring to 73 from yesterday's reading of 65. This surge signals a fervent appetite for risk among investors and hints at potentia…",https://biztoc.com/x/a539aa9016f1fe94,https://c.biztoc.com/p/a539aa9016f1fe94/s.webp,2023-12-19T13:32:06Z,"In a striking turn of events, the crypto market has embraced ""extreme greed,"" with the widely-followed Crypto Fear &amp; Greed Index soaring to 73 from yesterday's reading of 65.This surge signals a … [+252 chars]"
2,"{'id': None, 'name': 'Bitcoinist'}",Scott Matherson,"Solana Wins Institutional Investors’ Trust Over Bitcoin And Ethereum, Here’s How","Solana is in the lead again, as the majority of crypto assets investment products witnessed net outflows of investments last week, bringing an end to 11 consecutive weeks of inflows. This wasn’t surprising though, as most cryptocurrencies went through a brief…",https://bitcoinist.com/solana-trust-bitcoin-and-ethereum/,,2023-12-19T13:30:59Z,"Solana is in the lead again, as the majority of crypto assets investment products witnessed net outflows of investments last week, bringing an end to 11 consecutive weeks of inflows. This wasn’t surp… [+2581 chars]"
3,"{'id': None, 'name': 'CoinDesk'}",Lyllah Ledesma,First Mover Americas: Altcoins Rally as Bitcoin Climbs Back to $43K,"The latest price moves in bitcoin [BTC] and crypto markets in context for Dec. 19, 2023. First Mover is CoinDesk’s daily newsletter that contextualizes the latest actions in the crypto markets.",https://www.coindesk.com/markets/2023/12/19/first-mover-americas-altcoins-rally-as-bitcoin-climbs-back-to-43k/,https://www.coindesk.com/resizer/mNkjpYRnjt7ghHbU4qYB20Pk4HA=/1200x628/center/middle/cloudfront-us-east-1.images.arcpublishing.com/coindesk/MCWJTQ2XR5BY3P55FX2T7FYJPU.png,2023-12-19T13:24:23Z,"Altcoins led gains on Tuesday, with NEAR Protocol NEAR climbing 15% and Avalanche AVAX and Solana SOL adding 8% over the past 24 hours, while bitcoin(BTC) rose by around 5%. After reaching a daily lo… [+1918 chars]"
4,"{'id': None, 'name': 'BeInCrypto'}",Luis Jesús Blanco Crespo,¿Por qué Circle lanzó su stablecoin vinculada al euro en la red Solana?,"El emisor de stablecoins, Circle Internet Financial, ha agregado soporte para la stablecoin EURC en la blockchain Solana. La stablecoin tiene como objetivo agregar utilidad a las transacciones entre pares y a los brókeres euuropeos de remesas y podría atraer …",https://es.beincrypto.com/por-que-circle-lanza-stablecoin-vinculada-euro-red-solana/,https://s32679.pcdn.co/wp-content/uploads/2023/11/bic_Circle_Internet_Financial_5-covers_neutral.jpg.webp,2023-12-19T13:18:00Z,"El emisor de stablecoins, Circle Internet Financial, ha agregado soporte para la stablecoin EURC en la blockchainSolana. La stablecoin tiene como objetivo agregar utilidad a las transacciones entre p… [+2876 chars]"
5,"{'id': None, 'name': 'Biztoc.com'}",cryptonews.com,Is Bonk Going to Zero? BONK Price Declines 10% as Novel Mining Protocol Reaches $5.5 Million Milestone,"Solana-based meme coin Bonk has plummeted -10%, fuelling FOMO amongst retail traders left asking – is BONK going to zero? This comes on the tail-end of a huge pump, fuelled by a highly anticipated Coinbase BONK listing – which fuelled a dramatic +80% pump. In…",https://biztoc.com/x/9322efa4d771cf44,https://c.biztoc.com/p/9322efa4d771cf44/s.webp,2023-12-19T13:14:49Z,"Solana-based meme coin Bonk has plummeted -10%, fuelling FOMO amongst retail traders left asking is BONK going to zero?This comes on the tail-end of a huge pump, fuelled by a highly anticipated Coinb… [+275 chars]"
6,"{'id': None, 'name': 'Biztoc.com'}",forbes.com,"BlackRock Reveals Major Bitcoin ETF Update As Huge $1.6 Trillion Crypto Price Pump Spurs Ethereum, BNB, XRP And Solana","Bitcoin and major cryptocurrencies—including ethereum, BNB , XRP and solana—have rocketed higher amid expectations of a 2024 ""Biden bailout."" Subscribe now to Forbes' CryptoAsset & Blockchain Advisor and ""uncover blockchain blockbusters poised for 1,000% plus…",https://biztoc.com/x/88844b2075234a08,https://c.biztoc.com/p/88844b2075234a08/s.webp,2023-12-19T13:00:24Z,"Bitcoin and major cryptocurrenciesincluding ethereum, BNB , XRP and solanahave rocketed higher amid expectations of a 2024 ""Biden bailout.""Subscribe now to Forbes' CryptoAsset &amp; Blockchain Adviso… [+275 chars]"
7,"{'id': None, 'name': 'CoinDesk'}",Shaurya Malwa,Elastos Looks to Capture BTC Staking Demand With Bitcoin Layer 2 Offering,The platform is developing Bitcoin tools as the applications built on the network catch favor with investors.,https://www.coindesk.com/tech/2023/12/19/elastos-looks-to-capture-btc-staking-demand-with-bitcoin-layer-2-offering/,https://www.coindesk.com/resizer/-bb-K_lXzIhWgQRgQi6TpiDphYc=/1200x628/center/middle/cloudfront-us-east-1.images.arcpublishing.com/coindesk/PQ2JFVEVPNCWNAOOR3K46DCRE4.jpg,2023-12-19T13:00:00Z,"EMBARGO 1 PM UTC
Blockchain network Elastos is introducing BeL2, a Bitcoin layer-2 network, in a move that could capture billions of dollars in bitcoin (BTC) volumes from staking tools offered on th… [+1313 chars]"
8,"{'id': None, 'name': 'Slashdot.org'}",BeauHD,Ex-Amazon Engineer Pleads Guilty To Hacking Crypto Exchanges,An anonymous reader quotes a report from BleepingComputer: Former Amazon security engineer Shakeeb Ahmed pleaded guilty this week to hacking and stealing over $12.3 million from two cryptocurrency exchanges in July 2022. The two affected companies are Nirvana…,https://slashdot.org/story/23/12/19/0730258/ex-amazon-engineer-pleads-guilty-to-hacking-crypto-exchanges,https://a.fsdn.com/sd/topics/bitcoin_64.png,2023-12-19T13:00:00Z,Former Amazon security engineer Shakeeb Ahmed pleaded guilty this week to hacking and stealing over $12.3 million from two cryptocurrency exchanges in July 2022. The two affected companies are Nirvan… [+2068 chars]
9,"{'id': None, 'name': 'Biztoc.com'}",beincrypto.com,Price Reaches Another Yearly High,"price has increased parabolically since October, reaching a new yearly high of $79.50 on December 15. Despite the increase, some signs of weakness have developed in lower time frames. Will this lead to a local top, or will SOL push to new highs instead? Solan…",https://biztoc.com/x/2a5f6519c79b7f06,https://c.biztoc.com/p/2a5f6519c79b7f06/s.webp,2023-12-19T12:52:08Z,"price has increased parabolically since October, reaching a new yearly high of $79.50 on December 15.Despite the increase, some signs of weakness have developed in lower time frames. Will this lead t… [+309 chars]"
