,source,author,title,description,url,urlToImage,publishedAt,content
0,"{'id': None, 'name': 'Lithub.com'}",Emily Temple,The Biggest Literary Stories of the Year: 30 to 11,"And yet again, we’ve reached the end of a long, bad year. For the sake of posterity, and probably because we’re masochists, here’s the second installment of the 50 biggest literary stories of 2023, so you can remember the good, the bad, and all the literary c…",https://lithub.com/the-biggest-literary-stories-of-the-year-30-to-11-4/,https://s26162.pcdn.co/wp-content/uploads/2023/12/30112023.jpg,2023-12-19T12:54:24Z,"And yet again, we’ve reached the end of a long, bad year. For the sake of posterity, and probably because were masochists, heres the second installment of the 50 biggest literary stories of 2023, so … [+34150 chars]"
1,"{'id': None, 'name': 'Biztoc.com'}",coinpedia.org,Tether Prints $1 Billion,"The post Tether Prints $1 Billion – Major Bullish Signal as Crypto Presale Heads to $1.4 Million appeared first on Coinpedia Fintech News Tether ($USDT), the biggest stablecoin issuer, has reportedly printed another $1 billion, adding a huge amount of capital…",https://biztoc.com/x/516d48693c645ac4,https://c.biztoc.com/p/516d48693c645ac4/s.webp,2023-12-19T12:20:11Z,"The post Tether Prints $1 Billion Major Bullish Signal as Crypto Presale Heads to $1.4 Million appeared first on Coinpedia Fintech NewsTether ($USDT), the biggest stablecoin issuer, has reportedly pr… [+302 chars]"
2,"{'id': None, 'name': 'Genbeta.com'}",Marcos Merino,Tres millones de dólares robados combinando el 'timo del amor' con criptomonedas: un kit para ciberestafadores lo hace más fácil,"Los delitos basados en criptomonedas se han diversificado al tiempo que se convertían en una amenaza global. Ahora la compañía de ciberseguridad Sophos nos desvela una nueva trama de criptoestafas con un curioso nombre: 'pig butchering mining', que en español…",https://www.genbeta.com/seguridad/tres-millones-dolares-robados-combinando-timo-amor-criptomonedas-kit-para-ciberestafadores-hace-facil,https://i.blogs.es/fb7b92/cerdos/840_560.jpeg,2023-12-19T11:51:21Z,Los delitos basados en criptomonedas se han diversificado al tiempo que se convertían en una amenaza global. Ahora la compañía de ciberseguridad Sophos nos desvela una nueva trama de criptoestafas co… [+3957 chars]
3,"{'id': None, 'name': 'CryptoSlate'}",Oluwapelumi Adejumo,"Ethereum MEV-relay bloXroute to deny OFAC-listed transactions, escalating crypto censorship debate",Ethereum MEV-relay bloXroute labs said it will reject blocks containing transactions from addresses listed on the Office of Foreign Assets Control’s (OFAC) Specially Designated Nationals And Blocked Person List (SDN) list starting Dec. 18. In a Dec. 18 statem…,https://cryptoslate.com/ethereum-mev-relay-bloxroute-to-deny-ofac-listed-transactions-escalating-crypto-censorship-debate/,https://cryptoslate.com/wp-content/uploads/2023/12/ethereum-ofac-1.jpg,2023-12-19T11:29:54Z,Ethereum MEV-relay bloXroute labs said it will reject blocks containing transactions from addresses listed on the Office of Foreign Assets Control’s (OFAC) Specially Designated Nationals And Blocked … [+2791 chars]
4,"{'id': None, 'name': 'Biztoc.com'}",youtube.com,"Crypto News: BTC, ETH FUD, Tether, ICP, INJ, Fed Cuts & MORE!!",Get The Hottest Crypto Deals https://www.coinbureau.com/deals/ ⚡️ Coin Bureau Discord ... #coinbureaudiscord,https://biztoc.com/x/0d919aa4d28eb4b6,https://c.biztoc.com/p/0d919aa4d28eb4b6/s.webp,2023-12-19T08:02:30Z,"Get The Hottest Crypto Deals https://www.coinbureau.com/deals/ Coin Bureau Discord ...
#coinbureaudiscord
This story appeared on youtube.com, ."
5,"{'id': None, 'name': 'Robinsloan.com'}",maxbarners,Are AI language models in hell?,Good links; a provocation.,https://www.robinsloan.com/lab/language-models-hell/,https://www.robinsloan.com/img/blake-hell-1.jpg,2023-12-19T05:47:01Z,"From: Robin SloanTo: the labSent: December 2023
The Punishment of Rusticucci and His Companions, 1824-1827, William Blake
I want to share a little provo­ca­tion about AI language models. You can sk… [+13428 chars]"
6,"{'id': None, 'name': 'Biztoc.com'}",cryptopotato.com,"Tether Reveals Partnerships with Secret Service, FBI","Tether, the creator of the popular USDT stablecoin, has publicly disclosed letters sent to key U.S. legislative committees revealing its partnerships with the Secret Service and FBI. This update comes after Tether’s recent measures, which included implementin…",https://biztoc.com/x/0cb0b79d7582996c,https://c.biztoc.com/p/0cb0b79d7582996c/s.webp,2023-12-18T23:00:05Z,"Tether, the creator of the popular USDT stablecoin, has publicly disclosed letters sent to key U.S. legislative committees revealing its partnerships with the Secret Service and FBI.This update comes… [+303 chars]"
7,"{'id': None, 'name': 'Biztoc.com'}",cointelegraph.com,The Pope and US regulators warn about AI risks: Law Decoded,"Nowadays, everyone has an opinion on artificial intelligence (AI) and its potential risks. Even Pope Francis — the head of the Catholic Church — warned humanity of AI’s potential dangers and explained what needs to be done to control it. The Pope wants to see…",https://biztoc.com/x/9a12f5ee010a645b,https://c.biztoc.com/p/9a12f5ee010a645b/s.webp,2023-12-18T20:06:10Z,"Nowadays, everyone has an opinion on artificial intelligence (AI) and its potential risks. Even Pope Francis the head of the Catholic Church warned humanity of AIs potential dangers and explained wha… [+301 chars]"
8,"{'id': None, 'name': 'Cointelegraph'}",Cointelegraph by David Attlee,The Pope and US regulators warn about AI risks: Law Decoded,The head of the Catholic Church warned humanity of AI’s potential dangers and explained what needs to be done to control it.,https://cointelegraph.com/news/the-pope-and-us-regulators-warn-about-ai-risks-law-decoded-dec-11-18,"https://images.cointelegraph.com/cdn-cgi/image/format=auto,onerror=redirect,quality=90,width=1200/https://s3.cointelegraph.com/uploads/2023-12/c8c746c6-3cfa-4bae-bfc7-baf017774084.jpg",2023-12-18T20:00:00Z,"Nowadays, everyone has an opinion on artificial intelligence (AI) and its potential risks. Even Pope Francis the head of the Catholic Church warned humanity of AIs potential dangers and explained wha… [+4178 chars]"
9,"{'id': 'fox-news', 'name': 'Fox News'}",Stephen Moore,Why does Washington want to kill off America's 'Magnificent 7?',Seven major American companies have dominated the global economy and are responsible for almost all the gains in the stock market this year. Why do our politicians want to destroy them?,https://www.foxnews.com/opinion/why-does-washington-kill-off-americas-magnificent-7,https://static.foxnews.com/foxnews.com/content/uploads/2023/05/amazon-logo.gif,2023-12-18T19:00:57Z,"Nothing exemplifies America's tech industry dominance in the global economy more than the meteoric rise of what is now being called the ""Magnificent Seven"" stocks -- Amazon, Apple, Google, Meta, Micr… [+4303 chars]"
10,"{'id': None, 'name': 'Segu-info.com.ar'}",SeguInfo,Nuevo incidente afecta a Ledger. ¿Sigue siendo confiable utilizar productos de la empresa?,,http://blog.segu-info.com.ar/2023/12/nuevo-incidente-afecta-ledger-sigue.html#comment-form,,2023-12-18T18:44:00Z,Una brecha de seguridad en el Ledger Connect Kit durante dos horas ha comprometido cientos de miles de dólares en criptomonedas. El jueves pasado la empresa Ledger advirtió a sus usuarios que su Ledg… [+5209 chars]
11,"{'id': None, 'name': 'Biztoc.com'}",dailyhodl.com,Tether Preparing To Give FBI Access to Firm’s Platform After Onboarding U.S. Secret Service: CEO Paolo Ardoino,"Stablecoin issuer Tether (USDT) is preparing to give the Federal Bureau of Investigation (FBI) access to its platform soon after onboarding the U.S. Secret Service. In a new letter addressed to Senator Cynthia Lummis and Representative James French Hill, Teth…",https://biztoc.com/x/dceddb5c52764d43,https://c.biztoc.com/p/dceddb5c52764d43/s.webp,2023-12-18T18:06:17Z,Stablecoin issuer Tether (USDT) is preparing to give the Federal Bureau of Investigation (FBI) access to its platform soon after onboarding the U.S. Secret Service.In a new letter addressed to Senato… [+298 chars]
12,"{'id': None, 'name': 'Www.e15.cz'}",Jaroslav Krejčí,České vládní dluhopisy porážejí inflaci. Naskočit do nich se může vyplatit i dnes,"Vítejte u posledního letošního vydání Investičního newsletteru e15. Během svátků se odmlčí a zpět bude 8. ledna. Ještě před tím, než usedneme ke štědrovečernímu stolu a o pár dní později oslavíme příchod nového roku, nás ale čeká jedna zásadní událost. Ve čtv…",https://www.e15.cz/investicni-newsletter-jaroslava-krejciho/ceske-vladni-dluhopisy-porazeji-inflaci-naskocit-do-nich-se-muze-vyplatit-i-dnes-1412418,https://1884403144.rsc.cdn77.org/foto/dluhopisy-dohoda-deflace-inflace-finance-ekonomika-ilustrace-e15-grafika-e15/MTIwMHg2MzAvZmlsdGVyczp3YXRlcm1hcmsoaHR0cHM6Ly9pbWcuY25jZW50ZXIuY3ovZGlzdC9hc3NldHMvZTE1L3dhdGVybWFyay1lMTUucG5nLC0xMCwxMCwwKTpub191cHNjYWxlKDEpL2ltZw/8470258.jpg?v=0&st=pt2kyFlVIroa_Tvx9dieGBpkQpC9nvICNdtej_k5Wsc&ts=1600812000&e=0,2023-12-18T18:00:00Z,"Strun 
eský startup Rohlik, v jeho ele stojí zakladatel Tomá upr, chce na zaátku pítího roku získat dalí peníze na rozvoj. Online prodejce potravin pouije finance na ovládnutí nmeckého trhu, co ozna… [+14745 chars]"
13,"{'id': None, 'name': 'The Daily Hodl'}",Mehron Rokhy,Tether Preparing To Give FBI Access to Firm’s Platform After Onboarding U.S. Secret Service: CEO Paolo Ardoino,"Stablecoin issuer Tether (USDT) is preparing to give the Federal Bureau of Investigation (FBI) access to its platform soon after onboarding the U.S. Secret Service. In a new letter addressed to Senator Cynthia Lummis and Representative James French Hill, Teth…",https://dailyhodl.com/2023/12/18/tether-preparing-to-give-fbi-access-to-firms-platform-after-onboarding-u-s-secret-service-ceo-paolo-ardoino/,https://dailyhodl.com/wp-content/uploads/2021/10/regulator-orders-tether.jpg,2023-12-18T17:55:52Z,"Stablecoin issuer Tether (USDT) is preparing to give the Federal Bureau of Investigation (FBI) access to its platform soon after onboarding the U.S. Secret Service.
In a new letter addressed to Sena… [+2117 chars]"
