,source,author,title,description,url,urlToImage,publishedAt,content
0,"{'id': 'the-times-of-india', 'name': 'The Times of India'}",Navdeep Singh,"Crypto Price Today: Bitcoin falls below $41,200; Shiba Inu, Avalanche shed up to 6%","""The absence of clear dominance by either buyers or sellers, combined with the rate positioned away from support and resistance levels, suggests BTC might trade sideways between US$41,000 and US$43,000 in the coming days,"" Edul said",https://economictimes.indiatimes.com/markets/cryptocurrency/crypto-prices-today-live-news-bitcoin-dogecoin-ethereum-shibha-inu-cryptocurrency-latest-updates-18-december-2023/articleshow/106083745.cms,"https://img.etimg.com/thumb/msid-106083764,width-1200,height-630,imgsize-86842,overlay-etmarkets/photo.jpg",2023-12-18T08:08:55Z,"Major crypto tokens were trading in the red on Monday, dragged by losses in Bitcoin, Ethereum, Avalanche and Solana. The global cryptocurrency market cap also declined nearly 2% to around $1.56 trill… [+2760 chars]"
1,"{'id': None, 'name': 'Biztoc.com'}",coinjournal.net,Bitget announces listing of TonUP on Launchpad,"Victoria, Seychelles, December 15th, 2023, Chainwire Bitget, the world’s leading cryptocurrency exchange and Web3 company, announced it will list the initial exchange offering (IEO) of the high-potential blockchain project TonUP on its Bitget Launchpad platfo…",https://biztoc.com/x/2f7aa88eaf5f1bb2,https://c.biztoc.com/p/2f7aa88eaf5f1bb2/s.webp,2023-12-15T17:46:08Z,"Victoria, Seychelles, December 15th, 2023, ChainwireBitget, the worlds leading cryptocurrency exchange and Web3 company, announced it will list the initial exchange offering (IEO) of the high-potenti… [+290 chars]"
2,"{'id': 'the-times-of-india', 'name': 'The Times of India'}",Navdeep Singh,"Crypto Price Today: Bitcoin rises above $42,700; Cardano jumps 17% after","Fed Chair Jerome Powell said the Fed is aware of the risks of keeping rates higher for too long and lowering them too late, bolstering expectations of a rate cut in early 2024.",https://economictimes.indiatimes.com/markets/cryptocurrency/crypto-podcast/crypto-prices-today-live-news-bitcoin-dogecoin-ethereum-shibha-inu-cryptocurrency-latest-updates-14-december-2023/articleshow/105984376.cms,"https://img.etimg.com/thumb/msid-105984414,width-1200,height-630,imgsize-105004,overlay-etmarkets/photo.jpg",2023-12-14T07:46:36Z,Major crypto tokens were trading higher in Thursday's trade after the US Federal Reserve flagged the end of its tightening cycle and bolstered expectations of a rate cut in March 2024.The Fed acknowl… [+2715 chars]
3,"{'id': 'the-times-of-india', 'name': 'The Times of India'}",Navdeep Singh,"Crypto Price Today: Bitcoin falls below $41,000 ahead of Fed policy decision; Avalanche declines over 14%","The cryptocurrency markets were trading lower on Wednesday after US data reignited inflation concerns and elevated bets of a delay in rate cuts, ahead of the Federal Reserve's policy decision.",https://economictimes.indiatimes.com/markets/cryptocurrency/crypto-price-today-bitcoin-falls-below-41000-ahead-of-fed-policy-decision/articleshow/105956204.cms,"https://img.etimg.com/thumb/msid-105956348,width-1200,height-630,imgsize-104406,overlay-etmarkets/photo.jpg",2023-12-13T07:51:02Z,"The cryptocurrency markets were trading lower on Wednesday after US data reignited inflation concerns and elevated bets of a delay in rate cuts, ahead of the Federal Reserve's policy decision.Inflati… [+2159 chars]"
4,"{'id': 'the-times-of-india', 'name': 'The Times of India'}",Navdeep Singh,"Crypto Price Today: Bitcoin falls below $41,000 ahead of Fed policy decision;","The cryptocurrency markets were trading lower on Wednesday after US data reignited inflation concerns and elevated bets of a delay in rate cuts, ahead of the Federal Reserve's policy decision.",https://economictimes.indiatimes.com/markets/cryptocurrency/crypto-influencers/crypto-price-today-bitcoin-falls-below-41000-ahead-of-fed-policy-decision/articleshow/105956204.cms,"https://img.etimg.com/thumb/msid-105956348,width-1200,height-630,imgsize-104406,overlay-etmarkets/photo.jpg",2023-12-13T07:51:02Z,"The cryptocurrency markets were trading lower on Wednesday after US data reignited inflation concerns and elevated bets of a delay in rate cuts, ahead of the Federal Reserve's policy decision.Inflati… [+2159 chars]"
5,"{'id': None, 'name': 'Biztoc.com'}",coinpedia.org,"Best Altcoins to Buy Now Before Market Explodes: Avalanche (AVAX), Toncoin (TON), Litecoin (LTC), Pullix (PLX)","The post Best Altcoins to Buy Now Before Market Explodes: Avalanche (AVAX), Toncoin (TON), Litecoin (LTC), Pullix (PLX) appeared first on Coinpedia Fintech News Analysts have picked the top altcoins that traders and crypto enthusiasts should consider before t…",https://biztoc.com/x/30cf0d4d39f07942,https://c.biztoc.com/p/30cf0d4d39f07942/s.webp,2023-12-13T05:44:15Z,"The post Best Altcoins to Buy Now Before Market Explodes: Avalanche (AVAX), Toncoin (TON), Litecoin (LTC), Pullix (PLX) appeared first on Coinpedia Fintech NewsAnalysts have picked the top altcoins t… [+289 chars]"
6,"{'id': None, 'name': 'Pokeroff.ru'}",Multiceps,Как создать Telegram Wallet и использовать его для транзакций с румами,"Криптовалютный кошёлек в Телеграме — простая и удобная альтернатива другим цифровым кошелькам. Как создать счёт Telegram Wallet, как",https://www.pokeroff.ru/kak-sozdat-telegram-wallet-i-ispolzovat-ego-dlya-tranzakciy-s-rumami-post-2911762,https://www.pokeroff.ru/media/cache/cover_full/2911762-65770fe1cad65564707671.png,2023-12-11T13:37:22Z,". Telegram Wallet, .
 Wallet 
<ul><li> Tether USD (USDT) TRC-20. 15:00 11.12.2023: 1 USDT = $1.</li><li>Bitcoin (BTC) 15:00 11.12.2023: 1 BTC = $42,359;</li><li>Toncoin (TON) 15:00 11.12.2023: 1 TO… [+1022 chars]"
7,"{'id': None, 'name': 'Gadgets360.com'}","Radhika Parashar, Ketan Pratap","NFT, BTC ETF Buzz Bulked Up Crypto Cap, Breathes Back Life into Market Before 2023 Ends: Binance","The market valuation of the crypto market rose by 110 percent year-to-date, a report compiled by Binance said over the weekend. Along with Bitcoin’s market-reviving performance, there was a spike in L-1 blockchains and ZK protocols, among others.",https://www.gadgets360.com/cryptocurrency/news/binance-report-stablecoin-crypto-bitcoin-etf-cryptocurrency-market-4653029,https://i.gadgets360cdn.com/large/bitcoin_reuters_1684303356209.jpg,2023-12-11T08:17:52Z,"The market valuation of the crypto sector has risen significantly by 110 percent year-to-date, a report compiled by Binance said over the weekend. In the fourth quarter of 2023, the crypto market ros… [+2927 chars]"
8,"{'id': 'the-times-of-india', 'name': 'The Times of India'}",Navdeep Singh,"Crypto Price Today: Bitcoin falls below $41,200 amid profit booking; Toncoin, Chainlink tank over 8%","Other popular altcoins like Toncoin and Chainlink plunged 9% and 8.5%, respectively. Also, XRP, BNB, Solana, Cardano, Dogecoin, Tron, Polkadot, Polygon, Litecoin, and Shiba Inu declined 2-7%. On the other hand, Avalanche rose over 5%.",https://economictimes.indiatimes.com/markets/cryptocurrency/crypto-prices-today-live-news-bitcoin-dogecoin-ethereum-shibha-inu-cryptocurrency-latest-updates-11-december-2023/articleshow/105895881.cms,"https://img.etimg.com/thumb/msid-105895912,width-1200,height-630,imgsize-54922,overlay-etmarkets/photo.jpg",2023-12-11T06:58:13Z,"Bitcoin (BTC), the world's biggest cryptocurrency, fell 4% to $42,167 in Monday's trade, influenced by profit-taking among investors. The largest token declined as much as 5.7% from Friday's high of … [+2060 chars]"
9,"{'id': None, 'name': 'Ithome.com'}",,推出不到一年半，电报付费订阅 Telegram Premium 用户数破 400 万,IT之家 12 月 9 日消息，电报 Telegram 创始人杜洛夫（Pavel Durov）发文表示，Telegram Premium 推出还不到一年半，已成为消息应用历史上增长最快的付费订阅。Premium 订阅者数量在短短 5 个月内翻了一番，在过去 12 个月内翻了两番。如今，它的用户数量已突破 400 万。Telegram 目前每月活跃用户超过 8 亿。IT之家注意到，杜洛夫在上个月宣布将赠送 1 万个半年度高级订阅，通过加密货币 Toncoin 购买，总花费 20 万美元（当前约 143.4 万元人民…,https://www.ithome.com/0/738/148.htm,,2023-12-09T06:56:03Z,"IT 12 9 Telegram Pavel DurovTelegram Premium 
Premium 5 12 400 Telegram 8 
IT 1 Toncoin 20 143.4 
Telegram Premium 4 GB 
<ul><li> 1000 20 10 4 200 20 10 400 GIF
</li><li>4GB Telegram 2GB 
</li>… [+172 chars]"
10,"{'id': None, 'name': 'Trendmicro.com.tw'}",趨勢科技TrendMicro,《資安新聞周報》暗網外洩全台個資「含正副總統」，只賣17美元/高風險賣場排名「7-11賣貨便」居首 /近4成人曾被通知個資外洩 萬事達卡推AI偵測防盜刷,⭕️ 焦點新聞搶先看： 本文分享一週資安新聞及趨勢資安部落格精選。你將會看到新聞的 […],https://blog.trendmicro.com.tw/?p=79969,,2023-12-08T07:10:06Z,"⭕️ 
<ul><li>37-112</li><li>475</li><li>616.8%22.5%19.6%</li><li> Chrome GoogleChrome </li></ul>
7-11         
4 AI          
BurberryLV         
6NCCiOS2          
17     BLOCKTEMPO
1.4      … [+4726 chars]"
11,"{'id': 'the-times-of-india', 'name': 'The Times of India'}",Navdeep Singh,"Crypto Price Today: Bitcoin holds near $44,000; XRP, Cardano rise up to 5%","The cryptocurrency markets were trading higher on Thursday, led by Bitcoin, XRP, and Cardano. The global cryptocurrency market cap also surged 1.07% to around $1.6 trillion in the last 24 hours.",https://economictimes.indiatimes.com/markets/cryptocurrency/crypto-price-today-bitcoin-holds-near-44000-xrp-cardano-rise-up-to-5/articleshow/105806993.cms,"https://img.etimg.com/thumb/msid-105806973,width-1200,height-630,imgsize-48518,overlay-etmarkets/photo.jpg",2023-12-07T08:06:48Z,"The cryptocurrency markets were trading higher on Thursday, led by Bitcoin, XRP, and Cardano. The global cryptocurrency market cap also surged 1.07% to around $1.6 trillion in the last 24 hours.At 12… [+2266 chars]"
