,source,author,title,description,url,urlToImage,publishedAt,content
0,"{'id': None, 'name': 'Biztoc.com'}",cryptonews.com,"Value of Stablecoins on Ethereum Sees 34% Decline, Tron Records 57.7% Growth since 2022","Source: iQoncept / Adobe The value of stablecoins on Ethereum (ETH) has experienced a decline of 34% since 2022, while stablecoins on TRON (TRX) have seen a significant growth rate of 57.7% during the same period. According to a recent report from Sixdegree L…",https://biztoc.com/x/e79e877d7646f163,https://c.biztoc.com/p/e79e877d7646f163/s.webp,2023-12-19T07:38:14Z,"Source: iQoncept / AdobeThe value of stablecoins on Ethereum (ETH) has experienced a decline of 34% since 2022, while stablecoins on TRON (TRX) have seen a significant growth rate of 57.7% during the… [+271 chars]"
1,"{'id': None, 'name': 'Biztoc.com'}",unchainedcrypto.com,Circle’s Euro-Backed Stablecoin $EURC Goes Live on Solana,"Circle Internet Financial has launched its euro-backed stablecoin, Euro Coin (EURC), on Solana, a blockchain known for its extremely fast transaction speeds and low fees. Solana is the fourth blockchain where EURC is available, following Avalanche, Ethereum a…",https://biztoc.com/x/afaa51f670492322,https://c.biztoc.com/p/afaa51f670492322/s.webp,2023-12-18T19:52:40Z,"Circle Internet Financial has launched its euro-backed stablecoin, Euro Coin (EURC), on Solana, a blockchain known for its extremely fast transaction speeds and low fees. Solana is the fourth blockch… [+294 chars]"
2,"{'id': None, 'name': 'Biztoc.com'}",coinfeeds.io,Blockchain Private Lending Hits $582M This Year,DeFi platforms see a 128% surge in private loans as more turn to blockchain for finance amid rising interest rates. The world of finance is witnessing a significant shift with the rise of blockchain-based lending. Recent reports indicate that the amount of pr…,https://biztoc.com/x/ee5c778d03f400d1,https://c.biztoc.com/p/ee5c778d03f400d1/s.webp,2023-12-18T13:40:11Z,DeFi platforms see a 128% surge in private loans as more turn to blockchain for finance amid rising interest rates.The world of finance is witnessing a significant shift with the rise of blockchain-b… [+251 chars]
3,"{'id': None, 'name': 'Biztoc.com'}",cryptoslate.com,"Solana DEXs momentarily outpace Ethereum amid surge in memecoin, stablecoin activity","On Dec. 16, the trading volume of decentralized exchanges (DEX) on Solana briefly flipped that of Ethereum for the first time amid the continued growth of the smart-contract-enabled blockchain ecosystem. Data from DeFillama shows that the trading volume of DE…",https://biztoc.com/x/1ecb3c20dd8208f3,https://c.biztoc.com/p/1ecb3c20dd8208f3/s.webp,2023-12-18T12:04:51Z,"On Dec. 16, the trading volume of decentralized exchanges (DEX) on Solana briefly flipped that of Ethereum for the first time amid the continued growth of the smart-contract-enabled blockchain ecosys… [+270 chars]"
4,"{'id': None, 'name': 'Biztoc.com'}",cryptonews.com,Blockchain-Based Private Credit Surges 55% as Companies Seek Financing Amid Rising Interest Rates,"Image Source: Pixabay More companies are turning to blockchain-based private credit as they seek financing amid increasing interest rates, leading to a significant surge in this sector. According to RWA.xyz, a platform that tracks debt, active private loans t…",https://biztoc.com/x/f278730f65ae6580,https://c.biztoc.com/p/f278730f65ae6580/s.webp,2023-12-18T07:26:12Z,"Image Source: PixabayMore companies are turning to blockchain-based private credit as they seek financing amid increasing interest rates, leading to a significant surge in this sector. According to R… [+295 chars]"
5,"{'id': None, 'name': 'Biztoc.com'}",coindesk.com,Bank of Korea Governor Sees CBDC Introduction as Case for 'Urgency:' Report,"The growth of stablecoins such as tether (USDT) and USD Coin (USDC) poses challenges to central banks because, despite their name, they often lack stability, Bank of Korea Governor Rhee Chang-yong said Friday, according to Yonhap News. ""This underscores the u…",https://biztoc.com/x/2d012bc0a6135801,https://c.biztoc.com/p/2d012bc0a6135801/s.webp,2023-12-18T04:48:10Z,"The growth of stablecoins such as tether (USDT) and USD Coin (USDC) poses challenges to central banks because, despite their name, they often lack stability, Bank of Korea Governor Rhee Chang-yong sa… [+283 chars]"
6,"{'id': None, 'name': 'Biztoc.com'}",coingape.com,Watchdog Group Intensifies Claims Against Circle and Tron,"Recently, the nonprofit ethics group Campaign for Accountability (CfA) has reiterated its allegations against Circle, the issuer of USD Coin (USDC). On December 14, CfA released an open letter, intensifying its claims that Circle is involved in activities fac…",https://biztoc.com/x/31b86253536698a0,https://c.biztoc.com/p/31b86253536698a0/s.webp,2023-12-15T19:50:32Z,"Recently, the nonprofit ethics group Campaign for Accountability (CfA) has reiterated its allegations against Circle, the issuer of USD Coin (USDC). On December 14, CfA released an open letter, inten… [+293 chars]"
7,"{'id': None, 'name': 'Biztoc.com'}",financemagnates.com,Crypto Winds of Change: CBDCs on the Horizon for Global Banks,"The Governor of the Bank of Korea, Rhee Chang-yong, emphasized the ""urgency"" for central banks to consider the introduction of central bank digital currencies (CBDC) in response to the challenges posed by stablecoins. Stablecoins like tether (USDT) and USD Co…",https://biztoc.com/x/e00e5254391c5e1f,https://c.biztoc.com/p/e00e5254391c5e1f/s.webp,2023-12-15T16:34:14Z,"The Governor of the Bank of Korea, Rhee Chang-yong, emphasized the ""urgency"" for central banks to consider the introduction of central bank digital currencies (CBDC) in response to the challenges pos… [+301 chars]"
8,"{'id': None, 'name': 'Biztoc.com'}",coindesk.com,Bank of Korea Governor Sees CBDC Introduction as Case for 'Urgency:' Report,"The growth of stablecoins such as tether (USDT) and USD Coin (USDC) poses challenges to central banks because, despite their name, they often lack stability, Bank of Korea Governor Rhee Chang-yong said Friday, according to Yonhap News. ""This underscores the u…",https://biztoc.com/x/cf51d3762e19e19a,https://c.biztoc.com/p/cf51d3762e19e19a/s.webp,2023-12-15T15:04:08Z,"The growth of stablecoins such as tether (USDT) and USD Coin (USDC) poses challenges to central banks because, despite their name, they often lack stability, Bank of Korea Governor Rhee Chang-yong sa… [+283 chars]"
9,"{'id': None, 'name': 'Biztoc.com'}",cryptoslate.com,Coinbase International launches spot Bitcoin and Ethereum trading for non-US clients,"Coinbase International will enable its users to trade spot Bitcoin (BTC) and Ethereum (ETH) on the platform starting Dec. 14 as part of its global expansion moves, according to a statement from the exchange. Coinbase stated that it would pair the top cryptocu…",https://biztoc.com/x/67ffc27e1c3e949b,https://c.biztoc.com/p/67ffc27e1c3e949b/s.webp,2023-12-13T17:04:08Z,"Coinbase International will enable its users to trade spot Bitcoin (BTC) and Ethereum (ETH) on the platform starting Dec. 14 as part of its global expansion moves, according to a statement from the e… [+277 chars]"
